Date,Amount,Note
2024-01-01,8500,monthly rent
2024-01-02,320,food
2024-01-03,150,transport
2024-01-04,480,food
2024-01-05,900,utilities
2024-01-06,250,food
2024-01-07,1200,shopping
2024-01-08,180,transport
2024-01-09,420,food
2024-01-10,350,food
2024-01-11,600,health
2024-01-12,280,food
2024-01-13,1800,shopping
2024-01-14,9800,anomaly large spend
2024-01-15,200,transport
2024-01-16,380,food
2024-01-17,150,transport
2024-01-18,450,food
2024-01-19,1600,entertainment
2024-01-20,300,food
2024-01-21,2200,shopping
2024-01-22,180,transport
2024-01-23,400,food
2024-01-24,750,health
2024-01-25,220,transport
2024-01-26,500,food
2024-01-27,1400,entertainment
2024-01-28,350,food
2024-01-29,200,transport
2024-01-30,480,food
2024-01-31,600,utilities
2024-02-01,8500,monthly rent
2024-02-02,280,food
2024-02-03,160,transport
2024-02-04,520,food
2024-02-05,700,utilities
2024-02-06,350,food
2024-02-07,1100,shopping
2024-02-08,200,transport
2024-02-09,440,food
2024-02-10,380,food
2024-02-11,500,health
2024-02-12,300,food
2024-02-13,900,shopping
2024-02-14,320,food
2024-02-15,180,transport
2024-02-16,410,food
2024-02-17,160,transport
2024-02-18,480,food
2024-02-19,7500,anomaly large spend
2024-02-20,290,food
2024-02-21,1900,shopping
2024-02-22,200,transport
2024-02-23,370,food
2024-02-24,600,health
2024-02-25,240,transport
2024-02-26,510,food
2024-02-27,1200,entertainment
2024-02-28,330,food
2024-02-29,180,transport
2024-03-01,8500,monthly rent
2024-03-02,300,food
2024-03-03,170,transport
2024-03-04,460,food
2024-03-05,800,utilities
2024-03-06,270,food
2024-03-07,1500,shopping
2024-03-08,190,transport
2024-03-09,430,food
2024-03-10,360,food
2024-03-11,700,health
2024-03-12,290,food
2024-03-13,1100,shopping
2024-03-14,340,food
2024-03-15,210,transport
2024-03-16,390,food
2024-03-17,170,transport
2024-03-18,470,food
2024-03-19,1700,entertainment
2024-03-20,310,food
2024-03-21,2400,shopping
2024-03-22,190,transport
2024-03-23,420,food
2024-03-24,800,health
2024-03-25,250,transport
2024-03-26,490,food
2024-03-27,1300,entertainment
2024-03-28,360,food
2024-03-29,11200,anomaly very large
2024-03-30,460,food
2024-03-31,550,utilities
2024-04-01,8500,monthly rent
2024-04-02,290,food
2024-04-03,155,transport
2024-04-04,500,food
2024-04-05,650,utilities
2024-04-06,340,food
2024-04-07,1300,shopping
2024-04-08,185,transport
2024-04-09,450,food
2024-04-10,375,food
2024-04-11,550,health
2024-04-12,310,food
2024-04-13,1000,shopping
2024-04-14,330,food
2024-04-15,195,transport
2024-04-16,400,food
2024-04-17,165,transport
2024-04-18,490,food
2024-04-19,1500,entertainment
2024-04-20,305,food
2024-04-21,2100,shopping
2024-04-22,195,transport
2024-04-23,430,food
2024-04-24,700,health
2024-04-25,230,transport
2024-04-26,510,food
2024-04-27,1250,entertainment
2024-04-28,345,food
2024-04-29,200,transport
2024-04-30,475,food
